2012-05-16 16:25:55.866 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.866 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.866 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.867 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.867 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.867 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.867 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.867 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.868 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.868 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.868 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.868 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.868 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.869 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.869 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.869 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.869 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.869 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.869 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.870 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.870 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.870 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.870 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.870 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.870 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.870 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.871 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.871 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.871 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.871 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.871 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.871 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.872 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.872 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.872 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.872 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.872 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.873 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.873 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.873 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.873 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.873 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.873 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.873 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.874 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.874 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.874 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.874 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.874 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.874 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.875 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.875 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.875 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.875 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.875 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.875 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
2012-05-16 16:25:55.876 [info] <0.372.0>@proxima_vnode:handle_command:36 Serving a GET request~n
